"","NAME","NIC_PT","NIC_UB90","NIC_LB90","NIC_MOE","SEXCAT","NUI_PT","NUI_UB90","NUI_LB90","PCTIC_LB90","PCTIC_MOE","PCTIC_PT","PCTIC_UB90","PCTUI_PT","PCTUI_UB90","PCTUI_LB90","PCTUI_MOE","RACE_DESC","SEX_DESC","GEOCAT","GEOID","AGE_DESC","IPR_DESC","YEAR","NIPR_PT","RACECAT","AGECAT","IPRCAT","state"
"2","Iowa","2276804","2284426","2269182","7622","0","249896","257518","242274","89.8","0.3","90.1","90.4","9.9","10.2","9.6","0.3","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2012","2526700","0","0","0","19"
"3","Iowa","2290547","2298542","2282552","7995","0","244164","252159","236169","90.1","0.3","90.4","90.7","9.6","9.9","9.3","0.3","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2013","2534711","0","0","0","19"
"4","Iowa","2355055","2361954","2348156","6899","0","185413","192312","178514","92.4","0.3","92.7","93.0","7.3","7.6","7.0","0.3","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2014","2540468","0","0","0","19"
"5","Iowa","2396603","2402897","2390309","6294","0","149178","155472","142884","93.9","0.2","94.1","94.3","5.9","6.1","5.7","0.2","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2015","2545781","0","0","0","19"
"6","Iowa","2418293","2424120","2412466","5827","0","126746","132573","120919","94.8","0.2","95.0","95.2","5.0","5.2","4.8","0.2","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2016","2545039","0","0","0","19"
"7","Iowa","1140388","1145631","1135145","5243","1","136696","141939","131453","88.9","0.4","89.3","89.7","10.7","11.1","10.3","0.4","All Races","Male Only","040","19000","Under 65 years","All Incomes","2012","1277084","0","0","0","19"
"8","Iowa","1144422","1149933","1138911","5511","1","136528","142039","131017","88.9","0.4","89.3","89.7","10.7","11.1","10.3","0.4","All Races","Male Only","040","19000","Under 65 years","All Incomes","2013","1280950","0","0","0","19"
"9","Iowa","1179787","1184590","1174984","4803","1","104479","109282","99676","91.5","0.4","91.9","92.3","8.1","8.5","7.7","0.4","All Races","Male Only","040","19000","Under 65 years","All Incomes","2014","1284266","0","0","0","19"
"10","Iowa","1201488","1205797","1197179","4309","1","85345","89654","81036","93.1","0.3","93.4","93.7","6.6","6.9","6.3","0.3","All Races","Male Only","040","19000","Under 65 years","All Incomes","2015","1286833","0","0","0","19"
"11","Iowa","1214676","1218737","1210615","4061","1","73136","77197","69075","94.0","0.3","94.3","94.6","5.7","6.0","5.4","0.3","All Races","Male Only","040","19000","Under 65 years","All Incomes","2016","1287812","0","0","0","19"
