"","NAME","NIC_PT","NIC_UB90","NIC_LB90","NIC_MOE","SEXCAT","NUI_PT","NUI_UB90","NUI_LB90","PCTIC_LB90","PCTIC_MOE","PCTIC_PT","PCTIC_UB90","PCTUI_PT","PCTUI_UB90","PCTUI_LB90","PCTUI_MOE","RACE_DESC","SEX_DESC","GEOCAT","GEOID","AGE_DESC","IPR_DESC","YEAR","NIPR_PT","RACECAT","AGECAT","IPRCAT","state"
"2","Iowa","2253457","2270726","2236188","17269","0","272711","288248","257174","88.5","0.7","89.2","89.9","10.8","11.4","10.2","0.6","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2006","2526168","0","0","0","19"
"3","Iowa","2260811","2278004","2243618","17193","0","274879","291472","258286","88.5","0.7","89.2","89.9","10.8","11.5","10.1","0.7","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2007","2535690","0","0","0","19"
"4","Iowa","2233944","2241778","2226110","7834","0","248020","255854","240186","89.7","0.3","90.0","90.3","10.0","10.3","9.7","0.3","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2008","2481964","0","0","0","19"
"5","Iowa","2239385","2247206","2231564","7821","0","247530","255351","239709","89.7","0.3","90.0","90.3","10.0","10.3","9.7","0.3","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2009","2486915","0","0","0","19"
"6","Iowa","2246653","2254757","2238549","8104","0","270219","278323","262115","89.0","0.3","89.3","89.6","10.7","11.0","10.4","0.3","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2010","2516872","0","0","0","19"
"7","Iowa","2264814","2272945","2256683","8131","0","263528","271659","255397","89.3","0.3","89.6","89.9","10.4","10.7","10.1","0.3","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2011","2528343","0","0","0","19"
"8","Iowa","2276804","2284426","2269182","7622","0","249896","257518","242274","89.8","0.3","90.1","90.4","9.9","10.2","9.6","0.3","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2012","2526700","0","0","0","19"
"9","Iowa","2290547","2298542","2282552","7995","0","244164","252159","236169","90.1","0.3","90.4","90.7","9.6","9.9","9.3","0.3","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2013","2534711","0","0","0","19"
"10","Iowa","2355055","2361954","2348156","6899","0","185413","192312","178514","92.4","0.3","92.7","93.0","7.3","7.6","7.0","0.3","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2014","2540468","0","0","0","19"
"11","Iowa","2396603","2402897","2390309","6294","0","149178","155472","142884","93.9","0.2","94.1","94.3","5.9","6.1","5.7","0.2","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2015","2545781","0","0","0","19"
"12","Iowa","2418293","2424120","2412466","5827","0","126746","132573","120919","94.8","0.2","95.0","95.2","5.0","5.2","4.8","0.2","All Races","Both Sexes","040","19000","Under 65 years","All Incomes","2016","2545039","0","0","0","19"
"13","Iowa","1127863","1138474","1117252","10611","1","147118","157035","137201","87.7","0.8","88.5","89.3","11.5","12.3","10.7","0.8","All Races","Male Only","040","19000","Under 65 years","All Incomes","2006","1274981","0","0","0","19"
"14","Iowa","1132751","1143308","1122194","10557","1","149693","160062","139324","87.5","0.8","88.3","89.1","11.7","12.5","10.9","0.8","All Races","Male Only","040","19000","Under 65 years","All Incomes","2007","1282444","0","0","0","19"
"15","Iowa","1118775","1124351","1113199","5576","1","135377","140953","129801","88.8","0.4","89.2","89.6","10.8","11.2","10.4","0.4","All Races","Male Only","040","19000","Under 65 years","All Incomes","2008","1254152","0","0","0","19"
"16","Iowa","1119008","1124457","1113559","5449","1","137177","142626","131728","88.7","0.4","89.1","89.5","10.9","11.3","10.5","0.4","All Races","Male Only","040","19000","Under 65 years","All Incomes","2009","1256185","0","0","0","19"
"17","Iowa","1120990","1126622","1115358","5632","1","150620","156252","144988","87.8","0.4","88.2","88.6","11.8","12.2","11.4","0.4","All Races","Male Only","040","19000","Under 65 years","All Incomes","2010","1271610","0","0","0","19"
"18","Iowa","1133108","1138640","1127576","5532","1","144793","150325","139261","88.3","0.4","88.7","89.1","11.3","11.7","10.9","0.4","All Races","Male Only","040","19000","Under 65 years","All Incomes","2011","1277902","0","0","0","19"
"19","Iowa","1140388","1145631","1135145","5243","1","136696","141939","131453","88.9","0.4","89.3","89.7","10.7","11.1","10.3","0.4","All Races","Male Only","040","19000","Under 65 years","All Incomes","2012","1277084","0","0","0","19"
"20","Iowa","1144422","1149933","1138911","5511","1","136528","142039","131017","88.9","0.4","89.3","89.7","10.7","11.1","10.3","0.4","All Races","Male Only","040","19000","Under 65 years","All Incomes","2013","1280950","0","0","0","19"
"21","Iowa","1179787","1184590","1174984","4803","1","104479","109282","99676","91.5","0.4","91.9","92.3","8.1","8.5","7.7","0.4","All Races","Male Only","040","19000","Under 65 years","All Incomes","2014","1284266","0","0","0","19"
"22","Iowa","1201488","1205797","1197179","4309","1","85345","89654","81036","93.1","0.3","93.4","93.7","6.6","6.9","6.3","0.3","All Races","Male Only","040","19000","Under 65 years","All Incomes","2015","1286833","0","0","0","19"
"23","Iowa","1214676","1218737","1210615","4061","1","73136","77197","69075","94.0","0.3","94.3","94.6","5.7","6.0","5.4","0.3","All Races","Male Only","040","19000","Under 65 years","All Incomes","2016","1287812","0","0","0","19"
"24","Iowa","1125594","1135563","1115625","9969","2","125593","134800","116386","89.2","0.8","90.0","90.8","10.0","10.7","9.3","0.7","All Races","Female Only","040","19000","Under 65 years","All Incomes","2006","1251187","0","0","0","19"
"25","Iowa","1128060","1137847","1118273","9787","2","125186","134611","115761","89.2","0.8","90.0","90.8","10.0","10.8","9.2","0.8","All Races","Female Only","040","19000","Under 65 years","All Incomes","2007","1253246","0","0","0","19"
"26","Iowa","1115169","1120193","1110145","5024","2","112643","117667","107619","90.4","0.4","90.8","91.2","9.2","9.6","8.8","0.4","All Races","Female Only","040","19000","Under 65 years","All Incomes","2008","1227812","0","0","0","19"
"27","Iowa","1120377","1125502","1115252","5125","2","110354","115479","105229","90.6","0.4","91.0","91.4","9.0","9.4","8.6","0.4","All Races","Female Only","040","19000","Under 65 years","All Incomes","2009","1230730","0","0","0","19"
"28","Iowa","1125663","1130748","1120578","5085","2","119599","124684","114514","90.0","0.4","90.4","90.8","9.6","10.0","9.2","0.4","All Races","Female Only","040","19000","Under 65 years","All Incomes","2010","1245262","0","0","0","19"
"29","Iowa","1131706","1136826","1126586","5120","2","118735","123855","113615","90.1","0.4","90.5","90.9","9.5","9.9","9.1","0.4","All Races","Female Only","040","19000","Under 65 years","All Incomes","2011","1250441","0","0","0","19"
"30","Iowa","1136416","1141263","1131569","4847","2","113200","118047","108353","90.5","0.4","90.9","91.3","9.1","9.5","8.7","0.4","All Races","Female Only","040","19000","Under 65 years","All Incomes","2012","1249616","0","0","0","19"
"31","Iowa","1146125","1151069","1141181","4944","2","107636","112580","102692","91.0","0.4","91.4","91.8","8.6","9.0","8.2","0.4","All Races","Female Only","040","19000","Under 65 years","All Incomes","2013","1253761","0","0","0","19"
"32","Iowa","1175268","1179485","1171051","4217","2","80934","85151","76717","93.3","0.3","93.6","93.9","6.4","6.7","6.1","0.3","All Races","Female Only","040","19000","Under 65 years","All Incomes","2014","1256202","0","0","0","19"
"33","Iowa","1195115","1198822","1191408","3707","2","63833","67540","60126","94.6","0.3","94.9","95.2","5.1","5.4","4.8","0.3","All Races","Female Only","040","19000","Under 65 years","All Incomes","2015","1258948","0","0","0","19"
